Shop Name,Dendogram cats
A Cut Above,Beauty & Personal Care
A Yarn Story,Arts & Crafts
Amazon,E-commerce
AMAZON,E-commerce
Barbiee Boutique,Fashion & Apparel
Blackwell's,Bookshops
Blizzard,Entertainment
Boots,Healthcare
Brilliant Brushes,Arts & Crafts
Cass Art,Arts & Crafts
CeX,Electronics
Coffee #1,Food & Beverage
Collector Cave,Hobby & Collectibles
Coop Local,Supermarket & Grocery
Costa Coffee,Food & Beverage
CPA,Banking & Financial Services
Craftastic,Arts & Crafts
Deliveroo,Food Delivery Service
Disney,Entertainment
Etsy,E-commerce
Fat Face,Fashion & Apparel
Fitted Stitch,Fashion & Apparel
Five Senses Art,Arts & Crafts
Foyles,Education
Frankie & Bennies,Food & Beverage
Gamestation,Entertainment
Gap Kids,Children's Apparel
Grand Union BJJ,Fitness
Green Park,Outdoors Leisure
Green Park Academy,Education
Halifax,Banking & Financial Services
Happy Days Home,Social Care
Head,Fashion & Apparel
HMV,Entertainment
Hobby Lobby,Arts & Crafts
Hobbycraft,Arts & Crafts
JD Sports,Fashion & Apparel
Jollyes,Pet Supplies
JustEat,Food Delivery Service
Kew House,Education
Kings Arms,Bars & Pubs
Lavender Fields,Beauty & Personal Care
Lavender Primary,Education
LBG,Banking & Financial Services
Lloyds Pharmacy,Healthcare
Loosely Fitted,Fashion & Apparel
Mamas & Papas,Children's Apparel
Matalan,Fashion & Apparel
Millets,Fashion & Apparel
Mojang Studios,Entertainment
Mothercare,Children's Apparel
Mountain Warehouse,Fashion & Apparel
Netflix,Entertainment
North Face,Fashion & Apparel
Pets at Home,Pet Supplies
Pets Corner,Pet Supplies
Premier Finance,Banking & Financial Services
PureGym,Fitness
Reebok,Fashion & Apparel
Remedy plus care,Healthcare
Revella,Fashion & Apparel
Rose & Crown,Bars & Pubs
RugbyFields,Outdoors Leisure
Sainsbury,Supermarket & Grocery
Sainsbury Local,Supermarket & Grocery
Selfridges,General Retail
Specsavers,Opticians & Eyewear
Sports Direct,Fashion & Apparel
SquareOnix,Entertainment
Starbucks,Food & Beverage
Stitch By Stitch,Fashion & Apparel
Sunny Care Nursery,Childcare
Tesco,Supermarket & Grocery
The Crown,Bars & Pubs
The Works,Arts & Crafts
Topshop,Fashion & Apparel
Town High,Education
University College Hospital,Healthcare
Victoria Park,Outdoors Leisure
Vision Express,Opticians & Eyewear
Westport Care Home,Social Care
Wool,Arts & Crafts
Xbox,Entertainment
